gen_id,route_id,type_id,x1,y1,x2,y2
1,1,2,0,0,32,32
1,1,2,32,32,64,64
1,1,2,64,64,96,96
1,1,2,96,96,128,128
1,1,2,128,128,160,160
1,1,2,160,160,192,192
1,1,2,192,192,224,224
1,1,2,224,224,256,256
1,1,2,256,256,288,288
1,1,2,288,288,320,320
1,1,2,320,320,352,352
1,1,2,352,352,384,384
1,1,2,384,384,416,416
1,1,2,416,416,448,448
1,1,2,448,448,480,480
1,1,2,480,480,512,512
1,1,2,512,512,544,544
1,1,2,544,544,576,576
1,1,2,576,0,608,32
1,1,2,608,32,640,64
1,1,2,0,64,32,96
1,1,2,32,96,64,128
1,1,2,64,128,96,160
1,1,2,96,160,128,192
1,1,2,128,192,160,224
1,1,2,160,224,192,256
1,1,2,192,256,224,288
1,1,2,224,288,256,320
1,1,2,256,320,288,352
1,1,2,288,352,320,384
1,1,2,320,384,352,416
