gen_id,route_id,type_id,x1,y1,x2,y2
1,1,2,0,0,32,32
1,1,2,32,32,64,64
1,1,2,64,64,96,96
1,1,2,96,96,128,128
1,1,2,128,128,160,160
1,1,2,160,160,192,192
1,1,2,192,192,224,224
1,1,2,224,224,256,256
1,1,2,256,256,288,288
1,1,2,288,288,320,320
1,1,2,320,320,352,352
1,1,2,352,352,384,384
1,1,2,384,384,416,416
1,1,2,416,416,448,448
1,1,2,448,448,480,480
1,1,2,480,480,512,512
1,1,2,512,512,544,544
1,1,2,544,544,576,576
1,1,2,576,0,608,32
1,1,2,608,32,640,64
1,1,2,0,64,32,96
1,1,2,32,96,64,128
1,1,2,64,128,96,160
1,1,2,96,160,128,192
1,1,2,128,192,160,224
1,1,2,160,224,192,256
1,1,2,192,256,224,288
1,1,2,224,288,256,320
1,1,2,256,320,288,352
1,1,2,288,352,320,384
1,1,2,320,384,352,416
1,1,2,352,416,384,448
1,1,2,384,448,416,480
1,1,2,416,480,448,512
1,1,2,448,512,480,544
1,1,2,480,544,512,576
1,1,2,512,0,544,32
1,1,2,544,32,576,64
1,1,2,576,64,608,96
1,1,2,608,96,640,128
1,1,2,0,128,32,160
1,1,2,32,160,64,192
1,1,2,64,192,96,224
1,1,2,96,224,128,256
1,1,2,128,256,160,288
1,1,2,160,288,192,320
1,1,2,192,320,224,352
1,1,2,224,352,256,384
1,1,2,256,384,288,416
1,1,2,288,416,320,448
1,1,2,320,448,352,480
1,1,2,352,480,384,512
1,1,2,384,512,416,544
1,1,2,416,544,448,576
1,1,2,448,0,480,32
1,1,2,480,32,512,64
1,1,2,512,64,544,96
1,1,2,544,96,576,128
1,1,2,576,128,608,160
1,1,2,608,160,640,192
1,1,2,0,192,32,224
1,1,2,32,224,64,256
1,1,2,64,256,96,288
1,1,2,96,288,128,320
1,1,2,128,320,160,352
1,1,2,160,352,192,384
1,1,2,192,384,224,416
1,1,2,224,416,256,448
1,1,2,256,448,288,480
1,1,2,288,480,320,512
1,1,2,320,512,352,544
1,1,2,352,544,384,576
1,1,2,384,0,416,32
1,1,2,416,32,448,64
1,1,2,448,64,480,96
1,1,2,480,96,512,128
1,1,2,512,128,544,160
1,1,2,544,160,576,192
1,1,2,576,192,608,224
1,1,2,608,224,640,256
1,1,2,0,256,32,288
1,1,2,32,288,64,320
1,1,2,64,320,96,352
1,1,2,96,352,128,384
1,1,2,128,384,160,416
1,1,2,160,416,192,448
1,1,2,192,448,224,480
1,1,2,224,480,256,512
1,1,2,256,512,288,544
1,1,2,288,544,320,576
1,1,2,320,0,352,32
1,1,2,352,32,384,64
1,1,2,384,64,416,96
1,1,2,416,96,448,128
1,1,2,448,128,480,160
1,1,2,480,160,512,192
1,1,2,512,192,544,224
1,1,2,544,224,576,256
1,1,2,576,256,608,288
1,1,2,608,288,640,320
1,1,2,0,320,32,352
1,1,2,32,352,64,384
1,1,2,64,384,96,416
1,1,2,96,416,128,448
1,1,2,128,448,160,480
1,1,2,160,480,192,512
1,1,2,192,512,224,544
1,1,2,224,544,256,576
1,1,2,256,0,288,32
1,1,2,288,32,320,64
1,1,2,320,64,352,96
1,1,2,352,96,384,128
1,1,2,384,128,416,160
1,1,2,416,160,448,192
1,1,2,448,192,480,224
1,1,2,480,224,512,256
1,1,2,512,256,544,288
1,1,2,544,288,576,320
1,1,2,576,320,608,352
1,1,2,608,352,640,384
1,1,2,0,384,32,416
1,1,2,32,416,64,448
1,1,2,64,448,96,480
1,1,2,96,480,128,512
1,1,2,128,512,160,544
1,1,2,160,544,192,576
1,1,2,192,0,224,32
1,1,2,224,32,256,64
1,1,2,256,64,288,96
1,1,2,288,96,320,128
1,1,2,320,128,352,160
1,1,2,352,160,384,192
